Part,Kind,Module,LEGO part,Motion,Watertight,Solids,Dimensions mm,Best cardinal up,Downward area over 45deg mm2
master Short lever,printed,bit,,rocker,True,1,"[23.235999584197998, 8.399999618530273, 14.533100128173828]",Y-,0.7211994938323986
master Carriage fork and roof,printed,bit,,carriage,True,1,"[42.199501037597656, 26.250000047683717, 45.59949952363968]",X+,154.4449953526235
master Right carriage bearing support,printed,bit,,carriage,True,1,"[7.600000381469727, 23.300000190734863, 23.599999248981476]",X-,0.0
master U015,native,bit,,worm,,,,,
master U022,native,bit,,gear,,,,,
master reaction-stop-axle,native,bit,24316,gear,,,,,
master reaction-retainer,native,bit,32123a,gear,,,,,
master pivot-stop-axle,native,bit,24316,fixed,,,,,
master pivot-retainer,native,bit,32123a,fixed,,,,,
master Carriage support pin 1 2.0,native,bit,2780,carriage,,,,,
master Carriage support pin 1 18.0,native,bit,2780,carriage,,,,,
master L072,native,bit,,A,,,,,
master L097,native,bit,26287,O-route,,,,,
master L099,native,bit,,clutch-ring,,,,,
master L102,native,bit,,B,,,,,
master L069,native,bit,,O-route,,,,,
master POWER 16T 16,native,bit,94925,fixed,,,,,
master POWER 16T 32,native,bit,94925,fixed,,,,,
master reversing idler 16T -16,native,bit,94925,fixed,,,,,
master reversing idler 16T 32,native,bit,94925,fixed,,,,,
master output left 3L,native,bit,4519,fixed,,,,,
master output right 6L,native,bit,3706,fixed,,,,,
slave Short lever,printed,bit,,rocker,True,1,"[23.236007690429688, 8.399999618530273, 14.533100128173828]",Y-,0.7212031310055307
slave Carriage fork and roof,printed,bit,,carriage,True,1,"[42.19950866699219, 26.250000047683717, 45.59949952363968]",X+,148.5355128322543
slave Right carriage bearing support,printed,bit,,carriage,True,1,"[7.600006103515625, 23.300000190734863, 22.910235487357912]",X-,0.0
slave U015,native,bit,,worm,,,,,
slave U022,native,bit,,gear,,,,,
slave reaction-stop-axle,native,bit,24316,gear,,,,,
slave reaction-retainer,native,bit,32123a,gear,,,,,
slave pivot-stop-axle,native,bit,24316,fixed,,,,,
slave pivot-retainer,native,bit,32123a,fixed,,,,,
slave Carriage support pin 1 2.0,native,bit,2780,carriage,,,,,
slave Carriage support pin 1 18.0,native,bit,2780,carriage,,,,,
slave L072,native,bit,,A,,,,,
slave L097,native,bit,26287,O-route,,,,,
slave L099,native,bit,,clutch-ring,,,,,
slave L102,native,bit,,B,,,,,
slave L069,native,bit,,O-route,,,,,
slave POWER 16T -16,native,bit,94925,fixed,,,,,
slave reversing idler 16T 16,native,bit,94925,fixed,,,,,
slave output right 7L,native,bit,44294,fixed,,,,,
master_gate L097,native,bit,26287,O-route,,,,,
master_gate L099,native,bit,,clutch-ring,,,,,
master_gate L102,native,bit,,B,,,,,
master_gate B-input,native,bit,94925,B,,,,,
master_gate worm drive 10L,native,bit,3737,fixed,,,,,
slave_gate L097,native,bit,26287,O-route,,,,,
slave_gate L099,native,bit,,clutch-ring,,,,,
slave_gate L102,native,bit,,B,,,,,
slave_gate B-input,native,bit,94925,B,,,,,
master cheek joining pin 28.4,native,bit,2780,fixed,,,,,
master cheek joining pin 35.6,native,bit,2780,fixed,,,,,
slave cheek joining pin 28.4,native,bit,2780,fixed,,,,,
slave cheek joining pin 35.6,native,bit,2780,fixed,,,,,
master lock bolt,printed,bit,,bolt,True,1,"[12.000000178813934, 20.9, 18.300001525878905]",Y+,11.228808562420452
master roller axle,native,bit,32062,fixed,,,,,
master roller bush 15.6,native,bit,32123a,fixed,,,,,
master roller bush 27.6,native,bit,32123a,fixed,,,,,
master return band,elastic,bit,,elastic,,,,,
slave lock bolt,printed,bit,,bolt,True,1,"[12.000000178813934, 20.9, 18.300001525878905]",Y+,11.228808562420454
slave roller axle,native,bit,32062,fixed,,,,,
slave roller bush 15.6,native,bit,32123a,fixed,,,,,
slave roller bush 27.6,native,bit,32123a,fixed,,,,,
slave return band,elastic,bit,,elastic,,,,,
master_gate Carriage fork and roof,printed,bit,,gate-fork,True,1,"[23.40000057220459, 26.450000047683716, 18.9]",X+,160.04212084251608
master_gate fork bias band -10,elastic,bit,,fork-band,,,,,
master_gate crosshead pin -10 13.2,native,bit,2780,gate-fork,,,,,
master_gate Right carriage bearing support,printed,bit,,gate-fork,True,1,"[7.799999999999997, 13.366987036761762, 14.799999999999999]",X-,37.5832202316688
master_gate crosshead pin 12 13.2,native,bit,2780,gate-fork,,,,,
master_gate fork joining pin,native,bit,2780,gate-fork,,,,,
slave_gate Carriage fork and roof,printed,bit,,gate-fork,True,1,"[28.90000057220459, 26.450000047683716, 18.9]",X+,159.69459612829195
slave_gate fork bias band -10,elastic,bit,,fork-band,,,,,
slave_gate crosshead pin -10 13.2,native,bit,2780,gate-fork,,,,,
slave_gate Right carriage bearing support,printed,bit,,gate-fork,True,1,"[7.799999999999997, 13.366987036761762, 14.799999999999999]",X-,37.58322023166878
slave_gate crosshead pin 12 13.2,native,bit,2780,gate-fork,,,,,
slave_gate fork joining pin,native,bit,2780,gate-fork,,,,,
