instance,module,kind,native_part_or_inherited_source,one_bit_quantity,eight_bit_quantity,development_stl
master Short lever,bit,printed,master Short lever,1,8,Development parts/master Short lever.stl
master Carriage fork and roof,bit,printed,master Carriage fork and roof,1,8,Development parts/master Carriage fork and roof.stl
master Right carriage bearing support,bit,printed,master Right carriage bearing support,1,8,Development parts/master Right carriage bearing support.stl
master U015,bit,native,master U015,1,8,
master U022,bit,native,master U022,1,8,
master reaction-stop-axle,bit,native,24316,1,8,
master reaction-retainer,bit,native,32123a,1,8,
master pivot-stop-axle,bit,native,24316,1,8,
master pivot-retainer,bit,native,32123a,1,8,
master Carriage support pin 1 2.0,bit,native,2780,1,8,
master Carriage support pin 1 18.0,bit,native,2780,1,8,
master L072,bit,native,master L072,1,8,
master L097,bit,native,26287,1,8,
master L099,bit,native,master L099,1,8,
master L102,bit,native,master L102,1,8,
master L069,bit,native,master L069,1,8,
master POWER 16T 16,bit,native,94925,1,8,
master POWER 16T 32,bit,native,94925,1,8,
master reversing idler 16T -16,bit,native,94925,1,8,
master reversing idler 16T 32,bit,native,94925,1,8,
master output left 3L,bit,native,4519,1,8,
master output right 6L,bit,native,3706,1,8,
slave Short lever,bit,printed,slave Short lever,1,8,Development parts/slave Short lever.stl
slave Carriage fork and roof,bit,printed,slave Carriage fork and roof,1,8,Development parts/slave Carriage fork and roof.stl
slave Right carriage bearing support,bit,printed,slave Right carriage bearing support,1,8,Development parts/slave Right carriage bearing support.stl
slave U015,bit,native,slave U015,1,8,
slave U022,bit,native,slave U022,1,8,
slave reaction-stop-axle,bit,native,24316,1,8,
slave reaction-retainer,bit,native,32123a,1,8,
slave pivot-stop-axle,bit,native,24316,1,8,
slave pivot-retainer,bit,native,32123a,1,8,
slave Carriage support pin 1 2.0,bit,native,2780,1,8,
slave Carriage support pin 1 18.0,bit,native,2780,1,8,
slave L072,bit,native,slave L072,1,8,
slave L097,bit,native,26287,1,8,
slave L099,bit,native,slave L099,1,8,
slave L102,bit,native,slave L102,1,8,
slave L069,bit,native,slave L069,1,8,
slave POWER 16T -16,bit,native,94925,1,8,
slave reversing idler 16T 16,bit,native,94925,1,8,
slave output right 7L,bit,native,44294,1,8,
master_gate L097,bit,native,26287,1,8,
master_gate L099,bit,native,master_gate L099,1,8,
master_gate L102,bit,native,master_gate L102,1,8,
master_gate B-input,bit,native,94925,1,8,
master_gate worm drive 10L,bit,native,3737,1,8,
slave_gate L097,bit,native,26287,1,8,
slave_gate L099,bit,native,slave_gate L099,1,8,
slave_gate L102,bit,native,slave_gate L102,1,8,
slave_gate B-input,bit,native,94925,1,8,
master lock bolt,bit,printed,,1,8,Development parts/master lock bolt.stl
master roller axle,bit,native,32062,1,8,
master roller bush 15.6,bit,native,32123a,1,8,
master roller bush 27.6,bit,native,32123a,1,8,
master return band,bit,elastic,,1,8,
slave lock bolt,bit,printed,,1,8,Development parts/slave lock bolt.stl
slave roller axle,bit,native,32062,1,8,
slave roller bush 15.6,bit,native,32123a,1,8,
slave roller bush 27.6,bit,native,32123a,1,8,
