part,module,axis,length_mm,start_mm,end_mm,centre_x_mm,centre_y_mm,centre_z_mm,support_status
master reaction-stop-axle,bit,Y,23.8,-4.2,19.6,0.0,7.7,24.0,Retained actuator or moving-link pivot; physical fit unqualified
master pivot-stop-axle,bit,Y,23.8,-4.2,19.6,13.192,7.7,32.128,Retained actuator or moving-link pivot; physical fit unqualified
master output left 3L,bit,X,24.0,-28.2,-4.2,-16.2,10.2,0.0,Scheduled transmission: M output
master output right 6L,bit,X,48.0,4.2,52.2,28.2,10.2,0.0,Scheduled transmission: M output
slave reaction-stop-axle,bit,Y,23.8,-4.2,19.6,106.0,7.7,24.0,Retained actuator or moving-link pivot; physical fit unqualified
slave pivot-stop-axle,bit,Y,23.8,-4.2,19.6,119.192,7.7,32.128,Retained actuator or moving-link pivot; physical fit unqualified
slave output right 7L,bit,X,56.0,110.2,166.2,138.2,10.2,0.0,Scheduled transmission: Q output
master_gate worm drive 10L,bit,X,80.0,-55.8,24.2,-15.8,10.2,16.0,Scheduled transmission: Master worm
master roller axle,bit,Y,16.0,13.6,29.6,-5.05,21.6,53.3,Retained actuator or moving-link pivot; physical fit unqualified
slave roller axle,bit,Y,16.0,13.6,29.6,100.95,21.6,53.3,Retained actuator or moving-link pivot; physical fit unqualified
slave_gate left clutch stub 4L,bit,X,32.0,24.8,56.8,40.8,10.2,16.0,Scheduled transmission: Slave worm
slave output left 4L,bit,X,32.0,69.8,101.8,85.8,10.2,0.0,Scheduled transmission: Q output
slave_gate worm drive 10L,bit,X,80.0,64.2,144.2,104.2,10.2,16.0,Scheduled transmission: Slave worm
WRITE selector output left,bit,X,32.0,-112.2,-80.2,-96.2,10.2,-16.0,Scheduled transmission: Selected data
WRITE selector output right 7L,bit,X,56.0,-71.8,-15.8,-43.8,10.2,-16.0,Scheduled transmission: Selected data
WRITE D input axle 5L,bit,X,40.0,-96.5,-56.5,-76.5,10.2,0.0,Scheduled transmission: D inverted
D external input 5L,bit,X,40.0,-108.0,-68.0,-88.0,2.2,0.0,Scheduled transmission: D input
Master gate data stub 3L,bit,X,24.0,-55.8,-31.8,-43.8,10.2,0.0,Scheduled transmission: Master data stub
Q feedback shaft 32L,bit,X,256.0,-100.0,156.0,28.0,-3.656,-8.0,Scheduled transmission: Feedback
Shared reverse shaft left 10L,bit,X,80.0,-28.0,52.0,12.0,24.056,-8.0,Scheduled transmission: POWER plus
Shared reverse shaft right 10L,bit,X,80.0,54.0,134.0,94.0,24.056,-8.0,Scheduled transmission: POWER plus
POWER distribution 12L,bit,X,96.0,8.0,104.0,56.0,10.2,-16.0,Scheduled transmission: POWER minus
POWER local input 4L,bit,X,32.0,54.0,86.0,70.0,-3.656,-24.0,Scheduled transmission: POWER input
bit clock pivot axle,bit,Y,32.0,10.0,42.0,-96.0,26.0,40.0,Retained actuator or moving-link pivot; physical fit unqualified
bit clock input follower axle,bit,Y,24.0,5.0,29.0,-116.0,17.0,40.0,Retained actuator or moving-link pivot; physical fit unqualified
bit clock output follower axle,bit,Y,32.0,9.0,41.0,-96.0,25.0,20.0,Retained actuator or moving-link pivot; physical fit unqualified
bit write pivot axle,bit,Y,32.0,14.0,46.0,-104.0,30.0,8.0,Retained actuator or moving-link pivot; physical fit unqualified
bit write input follower axle,bit,Y,24.0,13.0,37.0,-128.0,25.0,8.0,Retained actuator or moving-link pivot; physical fit unqualified
bit write output follower axle,bit,Y,24.0,17.0,41.0,-104.0,29.0,-16.0,Retained actuator or moving-link pivot; physical fit unqualified
Control clock reaction-stop-axle,control,Y,23.8,-8.2,15.6,-140.0,3.7,-104.0,Retained actuator or moving-link pivot; physical fit unqualified
Control clock pivot-stop-axle,control,Y,23.8,-8.2,15.6,-148.128,3.7,-90.808,Retained actuator or moving-link pivot; physical fit unqualified
Control CLK input axle,control,Z,80.0,-144.0,-64.0,-132.0,6.2,-104.0,Scheduled transmission: CLOCK worm
Control Clock amplifier pivot,control,Y,24.0,22.0,46.0,-156.0,34.0,-104.0,Retained actuator or moving-link pivot; physical fit unqualified
Control CLK external axle,control,Z,32.0,-150.0,-118.0,-132.0,-9.8,-134.0,Scheduled transmission: CLOCK input
Control write reaction-stop-axle,control,Y,23.8,-16.2,7.6,-144.0,-4.3,-184.0,Retained actuator or moving-link pivot; physical fit unqualified
Control write pivot-stop-axle,control,Y,23.8,-16.2,7.6,-152.128,-4.3,-170.808,Retained actuator or moving-link pivot; physical fit unqualified
Control WRITE input axle,control,Z,72.0,-220.0,-148.0,-136.0,-1.8,-184.0,Scheduled transmission: WRITE worm
